sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"Jackie DeShannon (born Sharon Lee Myers, August 21, 1941) is an American singer-songwriter with a string of hit song credits from the 1960s onwards, as both singer and composer.",0,0,,328330,Y,3,1,2
She was one of the first female singer-songwriters of the Rock and Roll period.,1,0,,328330,N,0,0,0
"She is best known as the singer of ""What the World Needs Now Is Love"" and ""Put a Little Love in Your Heart"", and as the composer of ""When You Walk in the Room"" and ""Bette Davis Eyes"", which were covered by The Searchers and Kim Carnes, whose versions have been hits for both these acts.",2,0,,328330,C,4,0,1
"Since 2009, DeShannon has been an entertainment broadcast correspondent reporting Beatles band members' news for the radio program Breakfast with the Beatles.",0,1,,328330,C,0,0,1
==,0,2,== Early life and education ==,328330,N,0,0,0
Early life and education,1,2,== Early life and education ==,328330,N,0,0,0
==,2,2,== Early life and education ==,328330,N,0,0,0
"DeShannon was born in Hazel, Kentucky, the daughter of musically inclined farming parents, James Erwin Myers and the former Sandra Jeanne Laporte.",0,3,== Early life and education ==,328330,C,3,1,0
"By age six, she was singing country tunes on a local radio show.",1,3,== Early life and education ==,328330,N,0,0,0
"By age 11, she was hosting her own radio program.",2,3,== Early life and education ==,328330,N,0,0,0
"When life on the farm became too difficult, the family moved to her mother's hometown, Aurora, Illinois, where her father resumed his other career as a barber.",3,3,== Early life and education ==,328330,C,0,1,0
"After a year, they moved to Batavia, Illinois, where she attended high school.",4,3,== Early life and education ==,328330,C,0,1,1
"In May 1955, while in 8th grade, Sharon Lee Myers, then 13 years old, was featured in the local newspaper for her vocal talents and personal appearances at community gatherings, the local hospitals, and for assorted organizations.",5,3,== Early life and education ==,328330,C,1,0,2
"According to the Batavia Herald, she had her own Saturday morning radio show Breakfast Melodies on radio station WMRO.",6,3,== Early life and education ==,328330,C,0,1,1
Further:,7,3,== Early life and education ==,328330,N,0,0,0
"Though only 13, the youngster can boast almost 11 years of voice training and experience and in the past she has toured most of the south making personal appearances.",0,4,== Early life and education ==,328330,C,0,0,1
Also she has sung on radio with a rhythm band for 2 years and has appeared on television 3 times.,1,4,== Early life and education ==,328330,C,0,0,1
"In March 1956, ""Sherry Lee Myers"" made ""another guest appearance on Pee Wee King's popular Country and Western Television Show"" on Saturday evening, March 3, on Channel 2—the CBS network affiliate in Chicago, Illinois.",0,5,== Early life and education ==,328330,Y,2,2,2
According to the Batavia Herald:Sherry Lee is a busy young lady.,1,5,== Early life and education ==,328330,C,0,1,0
Each Saturday morning at 9:30 she is on the WMRO radio show.,2,5,== Early life and education ==,328330,C,0,0,1
"She had made appearances with the Pee Wee King Show at Ottawa, Rockford and LaSalle in recent weeks.",3,5,== Early life and education ==,328330,Y,2,2,1
"Following her television appearance this Saturday night, the young Batavia artist will appear at the West Aurora Junior High School auditorium on Sunday, March 4th for three shows, 2, 4, and 8 pm.",4,5,== Early life and education ==,328330,C,0,1,3
"She attended Batavia High School for two years (1955–1957), leaving school after her second year.",0,6,== Early life and education ==,328330,C,0,0,3
==,0,7,== Early career ==,328330,N,0,0,0
Early career ==,1,7,== Early career ==,328330,N,0,0,0
