URI,support,types,entity,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://dbpedia.org/resource/Russian_language,40524,"Wikidata:Q315,Schema:Language,DBpedia:Language",Russian,43,0.9931263010698806,0.0059516538733595,"Sergei Mikhailovich Lyapunov (or Liapunov; Russian: Серге́й Миха́йлович Ляпуно́в, Russian pronunciation: [sʲɪrˈɡʲej mʲɪˈxajləvʲɪtɕ lʲɪpʊˈnof]; 30 November [O.S. 18 November] 1859 – 8 November 1924) was a Russian composer, pianist and conductor.",0,0,
http://dbpedia.org/resource/Russian_language,40524,"Wikidata:Q315,Schema:Language,DBpedia:Language",Russian,108,0.9931263010698806,0.0059516538733595,"Sergei Mikhailovich Lyapunov (or Liapunov; Russian: Серге́й Миха́йлович Ляпуно́в, Russian pronunciation: [sʲɪrˈɡʲej mʲɪˈxajləvʲɪtɕ lʲɪpʊˈnof]; 30 November [O.S. 18 November] 1859 – 8 November 1924) was a Russian composer, pianist and conductor.",0,0,
http://dbpedia.org/resource/Old_Style_and_New_Style_dates,1850,,O.S.,198,0.997680358695198,0.0020953336553689,"Sergei Mikhailovich Lyapunov (or Liapunov; Russian: Серге́й Миха́йлович Ляпуно́в, Russian pronunciation: [sʲɪrˈɡʲej mʲɪˈxajləvʲɪtɕ lʲɪpʊˈnof]; 30 November [O.S. 18 November] 1859 – 8 November 1924) was a Russian composer, pianist and conductor.",0,0,
http://dbpedia.org/resource/Russian_language,40524,"Wikidata:Q315,Schema:Language,DBpedia:Language",Russian,248,0.9931263010698806,0.0059516538733595,"Sergei Mikhailovich Lyapunov (or Liapunov; Russian: Серге́й Миха́йлович Ляпуно́в, Russian pronunciation: [sʲɪrˈɡʲej mʲɪˈxajləvʲɪtɕ lʲɪpʊˈnof]; 30 November [O.S. 18 November] 1859 – 8 November 1924) was a Russian composer, pianist and conductor.",0,0,
http://dbpedia.org/resource/Composer,22686,,composer,256,0.9984714767494411,0.0014196309588556,"Sergei Mikhailovich Lyapunov (or Liapunov; Russian: Серге́й Миха́йлович Ляпуно́в, Russian pronunciation: [sʲɪrˈɡʲej mʲɪˈxajləvʲɪtɕ lʲɪpʊˈnof]; 30 November [O.S. 18 November] 1859 – 8 November 1924) was a Russian composer, pianist and conductor.",0,0,
http://dbpedia.org/resource/Pianist,5869,,pianist,266,0.9980872324958512,0.0019164328031801,"Sergei Mikhailovich Lyapunov (or Liapunov; Russian: Серге́й Миха́йлович Ляпуно́в, Russian pronunciation: [sʲɪrˈɡʲej mʲɪˈxajləvʲɪtɕ lʲɪpʊˈnof]; 30 November [O.S. 18 November] 1859 – 8 November 1924) was a Russian composer, pianist and conductor.",0,0,
http://dbpedia.org/resource/Conducting,12933,,conductor,278,0.9999185241493592,8.048018194687485e-05,"Sergei Mikhailovich Lyapunov (or Liapunov; Russian: Серге́й Миха́йлович Ляпуно́в, Russian pronunciation: [sʲɪrˈɡʲej mʲɪˈxajləvʲɪtɕ lʲɪpʊˈnof]; 30 November [O.S. 18 November] 1859 – 8 November 1924) was a Russian composer, pianist and conductor.",0,0,
http://dbpedia.org/resource/Mikhail_Lyapunov,8,,Mikhail Lyapunov,31,1.0,0.0,"After the death of his father, Mikhail Lyapunov, when he was about eight, Sergei, his mother, and his two brothers (one of them was Aleksandr Lyapunov, later a notable mathematician) went to live in the larger town of Nizhny Novgorod.",1,2,== Life ==
http://dbpedia.org/resource/Aleksandr_Lyapunov,100,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q901,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Scientist",Aleksandr Lyapunov,132,1.0,0.0,"After the death of his father, Mikhail Lyapunov, when he was about eight, Sergei, his mother, and his two brothers (one of them was Aleksandr Lyapunov, later a notable mathematician) went to live in the larger town of Nizhny Novgorod.",1,2,== Life ==
http://dbpedia.org/resource/Mathematician,8519,,mathematician,168,0.9998583191665028,0.00010116580693146265,"After the death of his father, Mikhail Lyapunov, when he was about eight, Sergei, his mother, and his two brothers (one of them was Aleksandr Lyapunov, later a notable mathematician) went to live in the larger town of Nizhny Novgorod.",1,2,== Life ==
