time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
13 November 1978,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Martin Stääf (born 13 November 1978), aka Liquid Stranger, is a Swedish-born electronic musician, described by Generation Bass as ""the epitome of Transnational Dubstep covering everything from Latin, Asian, Eastern European and Jamaican Dancehall dubs.""",0,0,,25064323
Eastern,NNP,HOLIDAY_REGEX,TIME,time_reference,"Martin Stääf (born 13 November 1978), aka Liquid Stranger, is a Swedish-born electronic musician, described by Generation Bass as ""the epitome of Transnational Dubstep covering everything from Latin, Asian, Eastern European and Jamaican Dancehall dubs.""",0,0,,25064323
Early years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,Early years =,1,2,== History == | === Early years ===,25064323
13 November 1978,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Martin Stääf was born 13 November 1978 in Varberg on the Swedish West Coast.,0,3,== History == | === Early years ===,25064323
the next 10 years,DT JJ CD NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER NUMERAL TIME,time_reference,Stääf started experimenting with synthesizers in the mid 80s and abandoned the classical music world to spend the next 10 years producing his own material.,2,3,== History == | === Early years ===,25064323
late 1990s,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,Early career: late 1990s =,1,4,== History == | === Early career: late 1990s ===,25064323
1997–1999,CD,YEAR_REGEX_1,TIME,time_reference,Martin Stääf worked in the commercial studio Bohus Sound Recordings 1997–1999 and engineered/produced various jazz and rock bands.,0,5,== History == | === Early career: late 1990s ===,25064323
1997,CD,YEAR_REGEX_1,TIME,time_reference,"In 1997 Martin Stääf formed the outfit Necton together with Patrik Olsén, mainly focusing on progressive and psychedelic trance.",2,5,== History == | === Early career: late 1990s ===,25064323
1997–2003,CD,YEAR_REGEX_1,TIME,time_reference,Necton toured extensively around the world between 1997–2003.,5,5,== History == | === Early career: late 1990s ===,25064323
2003–2009,CD,YEAR_REGEX_1,TIME,time_reference,The Liquid Stranger Project: 2003–2009 ===,1,7,== History == | === The Liquid Stranger Project: 2003–2009 ===,25064323
2003,CD,YEAR_REGEX_1,TIME,time_reference,Martin Stääf launched the Liquid Stranger project in 2003.,0,8,== History == | === The Liquid Stranger Project: 2003–2009 ===,25064323
2003,CD,YEAR_REGEX_1,TIME,time_reference,"In 2003, Martin Stääf founded the musical collective Subnatura together with Marckus Andersson.",0,12,== History == | === Subnatura collective ===,25064323
2004,CD,YEAR_REGEX_1,TIME,time_reference,"In 2004, Martin Stääf founded the record label Candy Mind Records together with his brother Jens Stääf.",0,14,== History == | === Candy Mind records ===,25064323
2005,CD,YEAR_REGEX_1,TIME,time_reference,"In 2005, Stääf got signed to Canadian label Interchill Records.",0,17,== History == | === Interchill records ===,25064323
previously,RB,TIMELINE_REGEX,TIME,time_reference,"Rick Anderson of Allmusic wrote about Liquid Stranger ""As someone who has previously worked in progressive rock, punk, techno, breakbeat, and IDM genres, Staaf brings a certain sophistication to his Interchill-style dubtronica, and there is lots to hear for those who take the trouble to listen closely: the brass and orchestral samples bubbling beneath the surface of the gently churning dub of Liquid Stranger on the Run.",3,17,== History == | === Interchill records ===,25064323
2008,CD,YEAR_REGEX_1,TIME,time_reference,"""The song We Meet at Last appeared on the compilation Bliminal, and was licensed by Velcrow Ripper for the film Fierce Light – Where Spirit Meets Action, released in 2008.",4,17,== History == | === Interchill records ===,25064323
2007,CD,YEAR_REGEX_1,TIME,time_reference,"The first full-length Liquid Stranger album, The Invisible Conquest, was released by Interchill Records in 2007.",0,19,== History == | === The Invisible Conquest ===,25064323
2009,CD,YEAR_REGEX_1,TIME,time_reference,The second full-length Liquid Stranger album was released by Interchill Records in 2009.,0,21,== History == | === The Intergalactic Slapstick ===,25064323
15 March 2010,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,The third full-length Liquid Stranger album was released on Rottun Recordings on 15 March 2010.,0,25,== History == | === The Private Riot ===,25064323
2010,CD,YEAR_REGEX_1,TIME,time_reference,Liquid Stranger's fourth full-length album was also released on Rottun Recordings in 2010 on 29 November.,0,27,== History == | === Mechanoid Meltdown ===,25064323
29 November,CD NNP,DIGIT_REGEX_1 MONTH_REGEX,NUMERAL TIME,,Liquid Stranger's fourth full-length album was also released on Rottun Recordings in 2010 on 29 November.,0,27,== History == | === Mechanoid Meltdown ===,25064323
2007,CD,YEAR_REGEX_1,TIME,time_reference,The Invisible Conquest (2007),0,33,== Discography == | === Albums ===,25064323
2009,CD,YEAR_REGEX_1,TIME,time_reference,The Intergalactic Slapstick (2009),0,34,== Discography == | === Albums ===,25064323
2010,CD,YEAR_REGEX_1,TIME,time_reference,Steel Trap EP (2010),0,35,== Discography == | === Albums ===,25064323
2010,CD,YEAR_REGEX_1,TIME,time_reference,The Private Riot (2010),0,36,== Discography == | === Albums ===,25064323
2010,CD,YEAR_REGEX_1,TIME,time_reference,Mechanoid Meltdown (2010),0,37,== Discography == | === Albums ===,25064323
2011,CD,YEAR_REGEX_1,TIME,time_reference,The Arcane Terrain (2011),0,38,== Discography == | === Albums ===,25064323
2011,CD,YEAR_REGEX_1,TIME,time_reference,Wetware Warfare EP (2011),0,39,== Discography == | === Albums ===,25064323
2012,CD,YEAR_REGEX_1,TIME,time_reference,Cryogenic Encounters (2012),0,40,== Discography == | === Albums ===,25064323
2013,CD,YEAR_REGEX_1,TIME,time_reference,Elemental EP (2013),0,41,== Discography == | === Albums ===,25064323
2014,CD,YEAR_REGEX_1,TIME,time_reference,The Renegade Crusade EP (2014),0,42,== Discography == | === Albums ===,25064323
2015,CD,YEAR_REGEX_1,TIME,time_reference,Anomaly: The Collection (2015),0,43,== Discography == | === Albums ===,25064323
2017,CD,YEAR_REGEX_1,TIME,time_reference,Weird & Wonderful EP (2017),0,44,== Discography == | === Albums ===,25064323
2018,CD,YEAR_REGEX_1,TIME,time_reference,Polarity EP (2018),0,45,== Discography == | === Albums ===,25064323
2019,CD,YEAR_REGEX_1,TIME,time_reference,Infinity LP (2019),0,46,== Discography == | === Albums ===,25064323
2020,CD,YEAR_REGEX_1,TIME,time_reference,Ascension EP (2020),0,47,== Discography == | === Albums ===,25064323
2003,CD,YEAR_REGEX_1,TIME,time_reference,It Came From The Dessert (2003),0,49,== Discography == | === Singles ===,25064323
2004,CD,YEAR_REGEX_1,TIME,time_reference,Subsonic Soil (2004),0,50,== Discography == | === Singles ===,25064323
2004,CD,YEAR_REGEX_1,TIME,time_reference,Pixies And Pixels (2004),0,51,== Discography == | === Singles ===,25064323
2005,CD,YEAR_REGEX_1,TIME,time_reference,Dead Or Alive (2005),0,52,== Discography == | === Singles ===,25064323
2005,CD,YEAR_REGEX_1,TIME,time_reference,Spores (2005),0,53,== Discography == | === Singles ===,25064323
2005,CD,YEAR_REGEX_1,TIME,time_reference,Alive in Veddige (2005),0,54,== Discography == | === Singles ===,25064323
2006,CD,YEAR_REGEX_1,TIME,time_reference,Banana(Electro)Split (2006),0,55,== Discography == | === Singles ===,25064323
2009,CD,YEAR_REGEX_1,TIME,time_reference,Monster (2009),0,56,== Discography == | === Singles ===,25064323
2009,CD,YEAR_REGEX_1,TIME,time_reference,Steel Trap (2009),0,57,== Discography == | === Singles ===,25064323
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Collectanea First Course – ""Impossible Mission"" (2003)",0,59,== Discography == | === Tracks appeared on ===,25064323
2003,CD,YEAR_REGEX_1,TIME,time_reference,"4 – ""Environmental Meltdown"" (2003)",1,60,== Discography == | === Tracks appeared on ===,25064323
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Subnatural Soundscapes Vol I – ""From The Sky"" (2003)",0,61,== Discography == | === Tracks appeared on ===,25064323
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Purple Pollen – ""Bismarch"" (2004)",0,62,== Discography == | === Tracks appeared on ===,25064323
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,"Some Candy Before Christmas – ""Ginger Bread Juice"" (2004)",0,63,== Discography == | === Tracks appeared on ===,25064323
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Some Candy Before Christmas – ""Ginger Bread Juice"" (2004)",0,63,== Discography == | === Tracks appeared on ===,25064323
2004,CD,YEAR_REGEX_1,TIME,time_reference,"Sound of Subnatura – ""Onda Ögat"" (2004)",0,64,== Discography == | === Tracks appeared on ===,25064323
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Burning Chocolate – "" Den Infekterade Terminalen"" (2005)",0,65,== Discography == | === Tracks appeared on ===,25064323
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Dissolving Clouds – ""Liquid Stranger on the Run"" (2005)",0,66,== Discography == | === Tracks appeared on ===,25064323
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Earth Octave Lounge Vol. 2 – ""Political Finga"" (2005)",0,67,== Discography == | === Tracks appeared on ===,25064323
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Promotion CD 2005 – ""Velour, Bleck"" (2005)",0,68,== Discography == | === Tracks appeared on ===,25064323
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Promotion CD 2005 – ""Velour, Bleck"" (2005)",0,68,== Discography == | === Tracks appeared on ===,25064323
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Electromeister 1.0 – ""Smeartest"" (2006)",0,69,== Discography == | === Tracks appeared on ===,25064323
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Masters of the Green Insects – ""Jakten På Guldpokalerna"" (2006)",0,70,== Discography == | === Tracks appeared on ===,25064323
2006,CD,YEAR_REGEX_1,TIME,time_reference,"New World Dub 01 – ""Political Finga"" (2006)",0,71,== Discography == | === Tracks appeared on ===,25064323
2007,CD,YEAR_REGEX_1,TIME,time_reference,"A Beginning of an End – ""I And I"" (2007)",0,72,== Discography == | === Tracks appeared on ===,25064323
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Bliminal – ""We Meet at Last"" (2007)",0,73,== Discography == | === Tracks appeared on ===,25064323
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Amenorea Dubs (Volume 01) – ""Zenmaniax"" (2008)",0,74,== Discography == | === Tracks appeared on ===,25064323
2009,CD,YEAR_REGEX_1,TIME,time_reference,"One Dub – ""Welcome to My Culvert"" (2009)",0,75,== Discography == | === Tracks appeared on ===,25064323
presents,NNS,TIMELINE_REGEX,TIME,time_reference,dimmSummer presents:,0,76,== Discography == | === Tracks appeared on ===,25064323
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Nu Asian SoundZ – ""Hexed and Perplexed featuring Deeyah"" (2010)",1,76,== Discography == | === Tracks appeared on ===,25064323
presents,NNS,TIMELINE_REGEX,TIME,time_reference,"dimmSummer presents: SUBcontinentalBASS – ""Fist of Fury"" (2011)",0,77,== Discography == | === Tracks appeared on ===,25064323
2011,CD,YEAR_REGEX_1,TIME,time_reference,"dimmSummer presents: SUBcontinentalBASS – ""Fist of Fury"" (2011)",0,77,== Discography == | === Tracks appeared on ===,25064323
2012,CD,YEAR_REGEX_1,TIME,time_reference,Bon Merde Remix EP (2012),0,78,== Discography == | === Tracks appeared on ===,25064323
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,"Ganja White Night, Liquid Stranger – ""Jungle Juice"" (2019)",0,79,== Discography == | === Tracks appeared on ===,25064323
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Ganja White Night, Liquid Stranger – ""Jungle Juice"" (2019)",0,79,== Discography == | === Tracks appeared on ===,25064323
2004,CD,YEAR_REGEX_1,TIME,time_reference,"""Slem – Denri (Liquid Stranger Remix)"" 2004)",0,81,== Discography == | === Remixes ===,25064323
2004,CD,YEAR_REGEX_1,TIME,time_reference,"""Dorothy's Magic Bag – Ghostmachine (Liquid Stranger Laxative Remix)"" (2004)",0,82,== Discography == | === Remixes ===,25064323
2004,CD,YEAR_REGEX_1,TIME,time_reference,"""Hectopascal – Svälj Din Saliv (Liquid Stranger Remix)"" (2004)",0,83,== Discography == | === Remixes ===,25064323
2005,CD,YEAR_REGEX_1,TIME,time_reference,"""Goto80 – Wombatman (Liquid Stranger's Duplomix)(2005)""",0,84,== Discography == | === Remixes ===,25064323
2005,CD,YEAR_REGEX_1,TIME,time_reference,"""Bruno Ferrari – Jean Gabin (Liquid Stranger's Duplomix)"" (2005)",0,85,== Discography == | === Remixes ===,25064323
2006,CD,YEAR_REGEX_1,TIME,time_reference,"""Dorothy's Magic Bag – Monster (Liquid Stranger Remix)"" (2006)",0,86,== Discography == | === Remixes ===,25064323
2009,CD,YEAR_REGEX_1,TIME,time_reference,"""Bombay Dub Orchestra – Journey (Liquid Stranger's Sliptrip Edit)"" (2009)",0,87,== Discography == | === Remixes ===,25064323
2009,CD,YEAR_REGEX_1,TIME,time_reference,"""Goto80 – Breakfast (Liquid Stranger's Gourmet Mixture)"" (2009)",0,88,== Discography == | === Remixes ===,25064323
2010,CD,YEAR_REGEX_1,TIME,time_reference,"""Specialist & Tru Skool – Dhaaru Pee Ke (Liquid Stranger Remix)"" (2010)",0,89,== Discography == | === Remixes ===,25064323
2010,CD,YEAR_REGEX_1,TIME,time_reference,"""Love Avalanche – Less Corruption (Liquid Stranger Remix)"" (2010)",0,90,== Discography == | === Remixes ===,25064323
2010,CD,YEAR_REGEX_1,TIME,time_reference,"""Psilodump – The Somnambulist (Liquid Stranger's Dirtnap Remix)"" (2010)",0,91,== Discography == | === Remixes ===,25064323
2011,CD,YEAR_REGEX_1,TIME,time_reference,"""El Diablo – Devil in the Machine (Liquid Stranger Remix)"" (2011)",0,92,== Discography == | === Remixes ===,25064323
2012,CD,YEAR_REGEX_1,TIME,time_reference,"""FreQ Nasty – Bon Merde (Liquid Stranger Remix)"" (2012)",0,93,== Discography == | === Remixes ===,25064323
2012,CD,YEAR_REGEX_1,TIME,time_reference,"""Getter – Ill Shit (Liquid Stranger Remix)"" (2012)",0,94,== Discography == | === Remixes ===,25064323
2012,CD,YEAR_REGEX_1,TIME,time_reference,"""Awolnation – Sail (Liquid Stranger Remix)"" (2012)",0,95,== Discography == | === Remixes ===,25064323
2012,CD,YEAR_REGEX_1,TIME,time_reference,"""Infected Mushroom – Never Mind (Liquid Stranger Remix)"" (2012)",0,96,== Discography == | === Remixes ===,25064323
