@URI,@support,@types,@surfaceForm,@offset,@similarityScore,@percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://dbpedia.org/resource/Jonathan_Stewart,108,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,Wikidata:Q14128148,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:GridironFootballPlayer,DBpedia:Athlete,DBpedia:Agent,DBpedia:AmericanFootballPlayer",Jonathan Stewart,0,0.9999999686727112,3.129662268410035E-8,"Jonathan Stewart Vickers,  (October 29, 1926 – July 10, 2015), known professionally as Jon Vickers, was a Canadian heldentenor.",0,0,
http://dbpedia.org/resource/Vickers_Limited,262,"Wikidata:Q4830453,Wikidata:Q43229,Wikidata:Q24229398,DUL:SocialPerson,DUL:Agent,Schema:Organization,DBpedia:Organisation,DBpedia:Agent,DBpedia:Company",Vickers,17,0.6048810175642068,0.6054296332836266,"Jonathan Stewart Vickers,  (October 29, 1926 – July 10, 2015), known professionally as Jon Vickers, was a Canadian heldentenor.",0,0,
http://dbpedia.org/resource/Jon_Vickers,155,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Jon Vickers,89,0.9999999999994316,5.590737281901652E-13,"Jonathan Stewart Vickers,  (October 29, 1926 – July 10, 2015), known professionally as Jon Vickers, was a Canadian heldentenor.",0,0,
http://dbpedia.org/resource/Canadians,60889,"Wikidata:Q41710,DBpedia:EthnicGroup",Canadian,108,0.9918646137800241,0.005647792277340366,"Jonathan Stewart Vickers,  (October 29, 1926 – July 10, 2015), known professionally as Jon Vickers, was a Canadian heldentenor.",0,0,
http://dbpedia.org/resource/Tenor,7902,,heldentenor,117,0.9999999999995168,0.0,"Jonathan Stewart Vickers,  (October 29, 1926 – July 10, 2015), known professionally as Jon Vickers, was a Canadian heldentenor.",0,0,
http://dbpedia.org/resource/Saskatchewan,26863,,Saskatchewan,23,0.9996265831123962,9.098359254485786E-5,"Born in Prince Albert, Saskatchewan, he was the sixth in a family of eight children.",0,1,
http://dbpedia.org/resource/Opera,30560,,opera,47,0.999926322208535,3.510794059797206E-5,"In 1950, he was awarded a scholarship to study opera at The Royal Conservatory of Music in Toronto.",1,1,
http://dbpedia.org/resource/The_Royal_Conservatory_of_Music,586,"Wikidata:Q43229,Wikidata:Q24229398,DUL:SocialPerson,DUL:Agent,Schema:Organization,DBpedia:Agent,DBpedia:Organisation",Royal Conservatory,60,0.9654033750994083,0.0330375982301187,"In 1950, he was awarded a scholarship to study opera at The Royal Conservatory of Music in Toronto.",1,1,
http://dbpedia.org/resource/Toronto,91578,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Toronto,91,0.9999735638496039,1.111924686348068E-5,"In 1950, he was awarded a scholarship to study opera at The Royal Conservatory of Music in Toronto.",1,1,
http://dbpedia.org/resource/Royal_Opera_House,5058,"Wikidata:Q41176,Wikidata:Q24354,Schema:Place,DBpedia:Venue,DBpedia:Place,DBpedia:Location,DBpedia:Building,DBpedia:ArchitecturalStructure,DBpedia:Theatre","Royal Opera House, Covent Garden",34,0.9986247279787837,0.001377165999071083,"In 1957 Vickers joined London’s Royal Opera House, Covent Garden company.",2,1,
http://dbpedia.org/resource/Metropolitan_Opera,7206,,Metropolitan Opera,22,0.9999884006619326,6.201950615008143E-6,In 1960 he joined the Metropolitan Opera.,3,1,
http://dbpedia.org/resource/Fender_Wide_Range,22,,wide range,29,0.9999999940136775,0.0,"He became world-famous for a wide range of German, French, and Italian roles.",4,1,
