sentences,sentenceIndex,paragraphIndex,section,wikiId
"George Wassouf (Arabic: جورج وسوف; born 23 December 1961, nicknamed Abou-Wadie (ابو وديع) and Sultan El-Tarab (سلطان الطرب))",0,0,N/A,698755
is a Syrian singer.,1,0,N/A,698755
"In a career spanning more than four decades, he has released more than 30 albums.",2,0,N/A,698755
"With a significantly large audience of fans in Lebanon, Syria, throughout the Arab world and abroad, he is one of the most successful Arab singers selling over 60 million records worldwide.",3,0,N/A,698755
==,0,1,== Early life and career ==,698755
Early life and career,1,1,== Early life and career ==,698755
==,2,1,== Early life and career ==,698755
"Wassouf was born in Kafroun, Syria to a Greek Orthodox Christian family.",0,2,== Early life and career ==,698755
Wassouf started singing at the age of 10 in his hometown Kafroun.,1,2,== Early life and career ==,698755
"He was discovered by his first manager and producer George Yazbeck at a wedding party that Wassouf was performing at, aged 12 years old.",2,2,== Early life and career ==,698755
"At the age of 16, he was called Sultan El-Tarab by the Lebanese journalist George Ibrahim El Khoury, a magazine director, Arabic for The Sultan of Music, with his classic song ""el-Hawa Sultan"".",3,2,== Early life and career ==,698755
He became famous after appearing on the Lebanese show Studio El Fan 1980 when he was 19 years old as Sultan of Tarab.,4,2,== Early life and career ==,698755
Wassouf holds the Lebanese passport,5,2,== Early life and career ==,698755
"Wassouf preferred not to shoot music videos for his songs saying: ""I don't feel I can act...",0,3,== Early life and career ==,698755
I really can't...,1,3,== Early life and career ==,698755
"I only find myself when I'm on the stage... singing, but the video clip forces me to act"".",2,3,== Early life and career ==,698755
==,0,4,== Personal life ==,698755
Personal life ==,1,4,== Personal life ==,698755
"George Wassouf married his first wife, Shalimar, at the age of 21.",0,5,== Personal life ==,698755
"They have three children: Hatem Wassouf, George Jr. Wassouf, Wadie Wassouf.",1,5,== Personal life ==,698755
The couple separated after 28 years of marriage in 2009.,2,5,== Personal life ==,698755
"He was married to Qatar rally champion Nada Zeidan, his second wife.",3,5,== Personal life ==,698755
They divorced in 2016.,4,5,== Personal life ==,698755
"Their daughter, Oyoon, was born in October 2015.",5,5,== Personal life ==,698755
Wassouf has been a prominent supporter of President Bashar al-Assad's government throughout the Syrian Civil War.,6,5,== Personal life ==,698755
==,0,6,== Discography ==,698755
Discography ==,1,6,== Discography ==,698755
1983:,0,7,== Discography ==,698755
Ouwidni Salmtek Byied Allah,1,7,== Discography ==,698755
1984:,0,8,== Discography ==,698755
El Hawa Sultan,1,8,== Discography ==,698755
1992:,0,9,== Discography ==,698755
Rouh El Rouh,1,9,== Discography ==,698755
1993:,0,10,== Discography ==,698755
She' Ghareeb,1,10,== Discography ==,698755
1994:,0,11,== Discography ==,698755
Kalam El Nass,1,11,== Discography ==,698755
1996:,0,12,== Discography ==,698755
Leil Al Ashiqeen,1,12,== Discography ==,698755
1998:,0,13,== Discography ==,698755
Lissa El Dounya Bi Khair,1,13,== Discography ==,698755
1999:,0,14,== Discography ==,698755
Tabeeb Garrah,1,14,== Discography ==,698755
2000:,0,15,== Discography ==,698755
Dol Mush Habayib,1,15,== Discography ==,698755
2001:,0,16,== Discography ==,698755
Zaman El Ajayib,1,16,== Discography ==,698755
2002:,0,17,== Discography ==,698755
Inta Gherhom,1,17,== Discography ==,698755
2003:,0,18,== Discography ==,698755
Salaf Wi Deine,1,18,== Discography ==,698755
